image,width,height,comment,video,video_action,shorts,correct,border,code_id
yt-testing/1/1640231117000-2021-12-23-11-45-17-867-Youtube.jpg,720,1461,0,0,0,0,1,558_1076,1_2_3
yt-testing/1/1640231118000-2021-12-23-11-45-18-867-Youtube.jpg,720,1461,0,0,0,0,1,558_1077,1_2_3
yt-testing/1/1640231119000-2021-12-23-11-45-19-867-Youtube.jpg,720,1461,0,0,0,0,1,558_1075,1_2_3
yt-testing/1/1640231120000-2021-12-23-11-45-20-867-Youtube.jpg,720,1461,0,0,0,0,1,558_1075,1_2_3
yt-testing/1/1640231121000-2021-12-23-11-45-21-867-Youtube.jpg,720,1461,0,0,0,0,1,558_1076,1_2_3
yt-testing/1/1640231122000-2021-12-23-11-45-22-867-Youtube.jpg,720,1461,0,0,0,0,1,558_1076,1_2_3
yt-testing/1/1640231123000-2021-12-23-11-45-23-867-Youtube.jpg,720,1461,0,0,0,0,1,558_1075,1_2_3
yt-testing/1/1640231124000-2021-12-23-11-45-24-867-Youtube.jpg,720,1461,0,0,0,0,1,558_1074,1_2_3
yt-testing/1/1640231125000-2021-12-23-11-45-25-867-Youtube.jpg,720,1461,0,0,0,0,1,558_1075,1_2_3
yt-testing/1/1640231126000-2021-12-23-11-45-26-867-Youtube.jpg,720,1461,0,0,0,0,1,558_1075,1_2_3
yt-testing/1/1640231127000-2021-12-23-11-45-27-867-Youtube.jpg,720,1461,0,0,0,0,1,558_1075,1_2_3
yt-testing/1/1640231128000-2021-12-23-11-45-28-867-Youtube.jpg,720,1461,0,0,0,0,1,558_1076,1_2_3
yt-testing/1/1640231135000-2021-12-23-11-45-35-868-Youtube.jpg,720,1461,0,0,0,0,1,559_1075,1_2_4
yt-testing/1/1640231136000-2021-12-23-11-45-36-868-Youtube.jpg,720,1461,0,1,0,0,1,,2
yt-testing/1/1640231137000-2021-12-23-11-45-37-868-Youtube.jpg,720,1461,0,1,0,0,1,,5
yt-testing/1/1640231138000-2021-12-23-11-45-38-868-Youtube.jpg,720,1461,0,1,0,0,1,,5
yt-testing/1/1640231139000-2021-12-23-11-45-39-868-Youtube.jpg,720,1461,0,1,0,0,1,,5
yt-testing/1/1640231140000-2021-12-23-11-45-40-868-Youtube.jpg,720,1461,0,1,0,0,1,,5
yt-testing/1/1640231141000-2021-12-23-11-45-41-868-Youtube.jpg,720,1461,0,1,0,0,1,,5
yt-testing/1/1640231142000-2021-12-23-11-45-42-868-Youtube.jpg,720,1461,0,1,0,0,1,,5
yt-testing/1/1640231143000-2021-12-23-11-45-43-868-Youtube.jpg,720,1461,0,1,0,0,1,,5
yt-testing/1/1640231144000-2021-12-23-11-45-44-868-Youtube.jpg,720,1461,0,1,0,0,1,,5
yt-testing/1/1640231145000-2021-12-23-11-45-45-868-Youtube.jpg,720,1461,0,1,0,0,1,,5
yt-testing/1/1640231146000-2021-12-23-11-45-46-868-Youtube.jpg,720,1461,0,1,0,0,1,,5
yt-testing/1/1640231147000-2021-12-23-11-45-47-868-Youtube.jpg,720,1461,0,1,0,0,1,,5
yt-testing/2/1650290663000-2022-04-18-22-04-23-377-Youtube.jpg,1084,540,0,1,0,0,1,,5
yt-testing/2/1650290666000-2022-04-18-22-04-26-377-Youtube.jpg,1084,540,0,1,0,0,1,,5
yt-testing/2/1650290669000-2022-04-18-22-04-29-377-Youtube.jpg,1084,540,0,1,0,0,1,,5
yt-testing/2/1650290670000-2022-04-18-22-04-30-377-Youtube.jpg,1084,540,0,1,0,0,1,,5
yt-testing/2/1650290671000-2022-04-18-22-04-31-377-Youtube.jpg,1084,540,0,1,0,0,1,,5
yt-testing/2/1650290672000-2022-04-18-22-04-32-377-Youtube.jpg,1084,540,0,1,0,0,1,,5
yt-testing/2/1650290673000-2022-04-18-22-04-33-377-Youtube.jpg,1084,540,0,1,0,0,1,,5
yt-testing/2/1650290674000-2022-04-18-22-04-34-377-Youtube.jpg,1084,540,0,1,0,0,1,,5
yt-testing/2/1650290675000-2022-04-18-22-04-35-377-Youtube.jpg,1084,540,0,1,0,0,1,,5
yt-testing/2/1650290676000-2022-04-18-22-04-36-377-Youtube.jpg,1084,540,0,1,0,0,1,,5
yt-testing/2/1650290677000-2022-04-18-22-04-37-377-Youtube.jpg,1084,540,0,1,0,0,1,,5
yt-testing/2/1650290678000-2022-04-18-22-04-38-377-Youtube.jpg,1084,540,0,1,0,0,1,,5
yt-testing/2/1650290679000-2022-04-18-22-04-39-377-Youtube.jpg,1084,540,0,1,0,0,1,,5
